"x","y","month","value","data.type","alt.slope","alt"
-77.6252328571429,-1.06727428571429,"m04",283,"tmax","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m05",246,"tmax","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m05",280,"tmax","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m06",239,"tmax","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m06",275,"tmax","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m07",237,"tmax","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m07",275,"tmax","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m08",245,"tmax","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m08",286,"tmax","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m09",253,"tmax","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m09",293,"tmax","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m10",255,"tmax","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m10",293,"tmax","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m11",255,"tmax","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m11",291,"tmax","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m12",252,"tmax","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m12",293,"tmax","low_east",420.714285714286
-78.8610371428571,0.157750714285714,"m01",245,"tmax","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m01",274,"tmax","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m02",248,"tmax","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m02",279,"tmax","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m03",251,"tmax","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m03",284,"tmax","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m04",254,"tmax","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m04",285,"tmax","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m05",252,"tmax","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m05",280,"tmax","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m06",248,"tmax","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m06",271,"tmax","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m07",248,"tmax","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m07",270,"tmax","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m08",251,"tmax","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m08",271,"tmax","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m09",250,"tmax","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m09",271,"tmax","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m10",245,"tmax","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m10",269,"tmax","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m11",241,"tmax","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m11",266,"tmax","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m12",241,"tmax","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m12",269,"tmax","low_west",468.428571428571
-77.7484657142857,-0.693372142857143,"m01",195,"tmean","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m01",238,"tmean","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m02",195,"tmean","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m02",238,"tmean","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m03",194,"tmean","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m03",236,"tmean","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m04",194,"tmean","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m04",235,"tmean","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m05",194,"tmean","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m05",234,"tmean","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m06",188,"tmean","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m06",229,"tmean","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m07",185,"tmean","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m07",228,"tmean","low_east",420.714285714286
