"Date","alt_height_slope","alt_type","side_andes","height","value","sd","type"
"2017-02-14","low_c_east","low","east","c",24.0384821428571,NA,"temp.max"
"2017-02-14","low_c_west","low","west","c",24.3923418209877,NA,"temp.max"
"2017-02-14","low_u_east","low","east","u",23.6922492283951,NA,"temp.max"
"2017-02-14","low_u_west","low","west","u",23.6673456790123,NA,"temp.max"
"2017-02-15","high_c_east","high","east","c",18.5775694444444,NA,"temp.max"
"2017-02-15","high_c_west","high","west","c",19.8635648148148,NA,"temp.max"
"2017-02-15","high_u_east","high","east","u",18.6012731481481,NA,"temp.max"
"2017-02-15","high_u_west","high","west","u",19.5783035714286,NA,"temp.max"
"2017-02-15","low_c_east","low","east","c",22.8305886243386,NA,"temp.max"
"2017-02-15","low_c_west","low","west","c",24.0735455246914,NA,"temp.max"
"2017-02-15","low_u_east","low","east","u",22.7124884259259,NA,"temp.max"
"2017-02-15","low_u_west","low","west","u",23.3511805555556,NA,"temp.max"
"2017-02-16","high_c_east","high","east","c",19.0243657407407,NA,"temp.max"
"2017-02-16","high_c_west","high","west","c",19.5469014550265,NA,"temp.max"
"2017-02-16","high_u_east","high","east","u",18.8314351851852,NA,"temp.max"
"2017-02-16","high_u_west","high","west","u",19.1798578042328,NA,"temp.max"
"2017-02-16","low_c_east","low","east","c",24.3356613756614,NA,"temp.max"
"2017-02-16","low_c_west","low","west","c",23.2445331790123,NA,"temp.max"
"2017-02-16","low_u_east","low","east","u",23.5472955246914,NA,"temp.max"
"2017-02-16","low_u_west","low","west","u",22.8042669753086,NA,"temp.max"
"2017-02-17","high_c_east","high","east","c",19.4362453703704,NA,"temp.max"
"2017-02-17","high_c_west","high","west","c",20.7474305555556,NA,"temp.max"
"2017-02-17","high_u_east","high","east","u",19.2009780092593,NA,"temp.max"
"2017-02-17","high_u_west","high","west","u",19.7661574074074,NA,"temp.max"
"2017-02-17","low_c_east","low","east","c",23.9835317460317,NA,"temp.max"
"2017-02-17","low_c_west","low","west","c",24.7877507716049,NA,"temp.max"
"2017-02-17","low_u_east","low","east","u",23.5396334876543,NA,"temp.max"
"2017-02-17","low_u_west","low","west","u",23.6743016975309,NA,"temp.max"
"2017-02-18","high_c_east","high","east","c",19.1324259259259,NA,"temp.max"
"2017-02-18","high_c_west","high","west","c",19.7423148148148,NA,"temp.max"
"2017-02-18","high_u_east","high","east","u",18.8968344907407,NA,"temp.max"
"2017-02-18","high_u_west","high","west","u",19.5551488095238,NA,"temp.max"
"2017-02-18","low_c_east","low","east","c",23.206378968254,NA,"temp.max"
