"Time","side_andes","alt_type","height","alt_height_slope","alt_height_type","value","sd","alt.type_height"
"19:00:00","west","low","u","low_u_west","low_u",22.7548447833188,0.23056920305252,"low_u"
"20:00:00","east","high","c","high_c_east","high_c",18.890659737466,0.119814483030317,"high_c"
"20:00:00","east","high","u","high_u_east","high_u",19.0121975441199,0.169329349302091,"high_u"
"20:00:00","east","low","c","low_c_east","low_c",23.2820888346378,0.114228342223036,"low_c"
"20:00:00","east","low","u","low_u_east","low_u",23.2996101102191,0.0867362342378618,"low_u"
"20:00:00","west","high","c","high_c_west","high_c",18.7351377940077,0.363129232367989,"high_c"
"20:00:00","west","high","u","high_u_west","high_u",18.7722147286659,0.31122378942779,"high_u"
"20:00:00","west","low","c","low_c_west","low_c",22.2920373944581,0.101303746583799,"low_c"
"20:00:00","west","low","u","low_u_west","low_u",22.470427055956,0.207392029865432,"low_u"
"21:00:00","east","high","c","high_c_east","high_c",18.6190572756828,0.0997458802361974,"high_c"
"21:00:00","east","high","u","high_u_east","high_u",18.7503640951903,0.141623538697085,"high_u"
"21:00:00","east","low","c","low_c_east","low_c",22.9416722289274,0.0938027626919233,"low_c"
"21:00:00","east","low","u","low_u_east","low_u",23.02384262046,0.0733722836008161,"low_u"
"21:00:00","west","high","c","high_c_west","high_c",18.6338075450596,0.364286770353042,"high_c"
"21:00:00","west","high","u","high_u_west","high_u",18.6618359613969,0.315848189635223,"high_u"
"21:00:00","west","low","c","low_c_west","low_c",22.0527841675484,0.100049176111437,"low_c"
"21:00:00","west","low","u","low_u_west","low_u",22.2661579316231,0.204148083918296,"low_u"
"22:00:00","east","high","c","high_c_east","high_c",18.3922676620428,0.0863383056310881,"high_c"
"22:00:00","east","high","u","high_u_east","high_u",18.5214844385306,0.118968657451019,"high_u"
"22:00:00","east","low","c","low_c_east","low_c",22.6958488314681,0.0898078575388661,"low_c"
"22:00:00","east","low","u","low_u_east","low_u",22.8075890458079,0.0641898523671807,"low_u"
"22:00:00","west","high","c","high_c_west","high_c",18.5758069329492,0.353364880374783,"high_c"
"22:00:00","west","high","u","high_u_west","high_u",18.598874319732,0.319525241443578,"high_u"
"22:00:00","west","low","c","low_c_west","low_c",21.859811822513,0.106242144623954,"low_c"
"22:00:00","west","low","u","low_u_west","low_u",22.0921674986334,0.212865750895287,"low_u"
"23:00:00","east","high","c","high_c_east","high_c",18.1987372330056,0.0868267239811093,"high_c"
"23:00:00","east","high","u","high_u_east","high_u",18.3247799685509,0.106323593291465,"high_u"
"23:00:00","east","low","c","low_c_east","low_c",22.4607201222783,0.0846277586573213,"low_c"
"23:00:00","east","low","u","low_u_east","low_u",22.5997927717146,0.0632509085548866,"low_u"
"23:00:00","west","high","c","high_c_west","high_c",18.4742599045038,0.332432229441669,"high_c"
"23:00:00","west","high","u","high_u_west","high_u",18.5029999569837,0.311348205576269,"high_u"
"23:00:00","west","low","c","low_c_west","low_c",21.695906293264,0.111992447874849,"low_c"
"23:00:00","west","low","u","low_u_west","low_u",21.9391597531387,0.213690466834666,"low_u"
