"Date","alt_height_slope","alt_type","side_andes","height","value","sd","type"
"2017-02-26","high_u_west","high","west","u",20.9588888888889,NA,"temp.max"
"2017-02-26","low_c_east","low","east","c",23.7427777777778,NA,"temp.max"
"2017-02-26","low_c_west","low","west","c",29.7380555555556,NA,"temp.max"
"2017-02-26","low_u_east","low","east","u",23.2002777777778,NA,"temp.max"
"2017-02-26","low_u_west","low","west","u",25.8810185185185,NA,"temp.max"
"2017-02-27","high_c_east","high","east","c",22.0687777777778,NA,"temp.max"
"2017-02-27","high_c_west","high","west","c",21.5365079365079,NA,"temp.max"
"2017-02-27","high_u_east","high","east","u",20.5970833333333,NA,"temp.max"
"2017-02-27","high_u_west","high","west","u",20.4990476190476,NA,"temp.max"
"2017-02-27","low_c_east","low","east","c",28.8753174603175,NA,"temp.max"
"2017-02-27","low_c_west","low","west","c",29.71,NA,"temp.max"
"2017-02-27","low_u_east","low","east","u",26.5176851851852,NA,"temp.max"
"2017-02-27","low_u_west","low","west","u",26.8218518518519,NA,"temp.max"
"2017-02-28","high_c_east","high","east","c",23.1196666666667,NA,"temp.max"
"2017-02-28","high_c_west","high","west","c",25.7224603174603,NA,"temp.max"
"2017-02-28","high_u_east","high","east","u",21.46125,NA,"temp.max"
"2017-02-28","high_u_west","high","west","u",23.4174603174603,NA,"temp.max"
"2017-02-28","low_c_east","low","east","c",31.2380158730159,NA,"temp.max"
"2017-02-28","low_c_west","low","west","c",32.7071296296296,NA,"temp.max"
"2017-02-28","low_u_east","low","east","u",28.3101851851852,NA,"temp.max"
"2017-02-28","low_u_west","low","west","u",29.1787037037037,NA,"temp.max"
"2017-03-01","high_c_east","high","east","c",23.5347777777778,NA,"temp.max"
"2017-03-01","high_c_west","high","west","c",24.2683333333333,NA,"temp.max"
"2017-03-01","high_u_east","high","east","u",21.9630555555555,NA,"temp.max"
"2017-03-01","high_u_west","high","west","u",22.4751587301587,NA,"temp.max"
"2017-03-01","low_c_east","low","east","c",32.2619047619048,NA,"temp.max"
"2017-03-01","low_c_west","low","west","c",31.2208333333333,NA,"temp.max"
"2017-03-01","low_u_east","low","east","u",29.3681481481481,NA,"temp.max"
"2017-03-01","low_u_west","low","west","u",28.2719444444444,NA,"temp.max"
"2017-03-02","high_c_east","high","east","c",23.5282222222222,NA,"temp.max"
"2017-03-02","high_c_west","high","west","c",25.1504761904762,NA,"temp.max"
"2017-03-02","high_u_east","high","east","u",21.7240277777778,NA,"temp.max"
"2017-03-02","high_u_west","high","west","u",22.9130158730159,NA,"temp.max"
"2017-03-02","low_c_east","low","east","c",29.9249206349206,NA,"temp.max"
"2017-03-02","low_c_west","low","west","c",32.3951851851852,NA,"temp.max"
"2017-03-02","low_u_east","low","east","u",26.9963888888889,NA,"temp.max"
"2017-03-02","low_u_west","low","west","u",28.6805555555556,NA,"temp.max"
"2017-03-03","high_c_east","high","east","c",24.8814444444444,NA,"temp.max"
"2017-03-03","high_c_west","high","west","c",24.5465079365079,NA,"temp.max"
"2017-03-03","high_u_east","high","east","u",22.5745833333333,NA,"temp.max"
"2017-03-03","high_u_west","high","west","u",22.2389682539683,NA,"temp.max"
"2017-03-03","low_c_east","low","east","c",32.0338888888889,NA,"temp.max"
"2017-03-03","low_c_west","low","west","c",31.0433333333333,NA,"temp.max"
"2017-03-03","low_u_east","low","east","u",28.3065740740741,NA,"temp.max"
"2017-03-03","low_u_west","low","west","u",27.4062962962963,NA,"temp.max"
"2017-03-04","high_c_east","high","east","c",20.7152222222222,NA,"temp.max"
"2017-03-04","high_c_west","high","west","c",26.1809523809524,NA,"temp.max"
"2017-03-04","high_u_east","high","east","u",19.8526388888889,NA,"temp.max"
"2017-03-04","high_u_west","high","west","u",24.3461111111111,NA,"temp.max"
"2017-03-04","low_c_east","low","east","c",23.350873015873,NA,"temp.max"
"2017-03-04","low_c_west","low","west","c",31.8528703703704,NA,"temp.max"
"2017-03-04","low_u_east","low","east","u",23.2080555555555,NA,"temp.max"
"2017-03-04","low_u_west","low","west","u",28.877037037037,NA,"temp.max"
"2017-03-05","high_c_east","high","east","c",22.0235555555556,NA,"temp.max"
"2017-03-05","high_c_west","high","west","c",22.9640476190476,NA,"temp.max"
"2017-03-05","high_u_east","high","east","u",20.7875,NA,"temp.max"
"2017-03-05","high_u_west","high","west","u",21.6888095238095,NA,"temp.max"
"2017-03-05","low_c_east","low","east","c",27.4004761904762,NA,"temp.max"
"2017-03-05","low_c_west","low","west","c",30.3279629629629,NA,"temp.max"
"2017-03-05","low_u_east","low","east","u",24.9522222222222,NA,"temp.max"
"2017-03-05","low_u_west","low","west","u",27.9393518518518,NA,"temp.max"
"2017-03-06","high_c_east","high","east","c",20.7584444444444,NA,"temp.max"
"2017-03-06","high_c_west","high","west","c",22.5116666666667,NA,"temp.max"
"2017-03-06","high_u_east","high","east","u",19.9122222222222,NA,"temp.max"
