"Date","alt_height_slope","alt_type","side_andes","height","value","sd","type"
"2017-02-15","high_u_east","high","east","u",17.4508333333333,NA,"temp.min"
"2017-02-15","high_u_west","high","west","u",18.3001587301587,NA,"temp.min"
"2017-02-15","low_c_east","low","east","c",21.5380158730159,NA,"temp.min"
"2017-02-15","low_c_west","low","west","c",21.1969444444444,NA,"temp.min"
"2017-02-15","low_u_east","low","east","u",21.7516666666667,NA,"temp.min"
"2017-02-15","low_u_west","low","west","u",21.4434259259259,NA,"temp.min"
"2017-02-16","high_c_east","high","east","c",17.4031111111111,NA,"temp.min"
"2017-02-16","high_c_west","high","west","c",17.6921428571429,NA,"temp.min"
"2017-02-16","high_u_east","high","east","u",17.5340277777778,NA,"temp.min"
"2017-02-16","high_u_west","high","west","u",17.8177777777778,NA,"temp.min"
"2017-02-16","low_c_east","low","east","c",21.0609523809524,NA,"temp.min"
"2017-02-16","low_c_west","low","west","c",20.8747222222222,NA,"temp.min"
"2017-02-16","low_u_east","low","east","u",21.3417592592593,NA,"temp.min"
"2017-02-16","low_u_west","low","west","u",21.1372222222222,NA,"temp.min"
"2017-02-17","high_c_east","high","east","c",17.6697777777778,NA,"temp.min"
"2017-02-17","high_c_west","high","west","c",16.0251587301587,NA,"temp.min"
"2017-02-17","high_u_east","high","east","u",17.7365277777778,NA,"temp.min"
"2017-02-17","high_u_west","high","west","u",15.9677777777778,NA,"temp.min"
"2017-02-17","low_c_east","low","east","c",21.8793650793651,NA,"temp.min"
"2017-02-17","low_c_west","low","west","c",20.0725,NA,"temp.min"
"2017-02-17","low_u_east","low","east","u",22.0701851851852,NA,"temp.min"
"2017-02-17","low_u_west","low","west","u",20.3862037037037,NA,"temp.min"
"2017-02-18","high_c_east","high","east","c",17.646,NA,"temp.min"
"2017-02-18","high_c_west","high","west","c",18.0007936507937,NA,"temp.min"
"2017-02-18","high_u_east","high","east","u",17.7776388888889,NA,"temp.min"
"2017-02-18","high_u_west","high","west","u",18.1815079365079,NA,"temp.min"
"2017-02-18","low_c_east","low","east","c",21.520873015873,NA,"temp.min"
"2017-02-18","low_c_west","low","west","c",21.5385185185185,NA,"temp.min"
"2017-02-18","low_u_east","low","east","u",21.7275925925926,NA,"temp.min"
"2017-02-18","low_u_west","low","west","u",21.7576851851852,NA,"temp.min"
"2017-02-19","high_c_east","high","east","c",16.3508888888889,NA,"temp.min"
"2017-02-19","high_c_west","high","west","c",18.3477777777778,NA,"temp.min"
"2017-02-19","high_u_east","high","east","u",16.4509722222222,NA,"temp.min"
"2017-02-19","high_u_west","high","west","u",18.5006349206349,NA,"temp.min"
"2017-02-19","low_c_east","low","east","c",20.4989682539683,NA,"temp.min"
"2017-02-19","low_c_west","low","west","c",21.2841666666667,NA,"temp.min"
"2017-02-19","low_u_east","low","east","u",20.7455555555556,NA,"temp.min"
"2017-02-19","low_u_west","low","west","u",21.6781481481481,NA,"temp.min"
"2017-02-20","high_c_east","high","east","c",17.8977777777778,NA,"temp.min"
"2017-02-20","high_c_west","high","west","c",17.4575396825397,NA,"temp.min"
"2017-02-20","high_u_east","high","east","u",17.95,NA,"temp.min"
"2017-02-20","high_u_west","high","west","u",17.1652380952381,NA,"temp.min"
"2017-02-20","low_c_east","low","east","c",21.7426984126984,NA,"temp.min"
"2017-02-20","low_c_west","low","west","c",20.9224074074074,NA,"temp.min"
"2017-02-20","low_u_east","low","east","u",21.8553703703704,NA,"temp.min"
"2017-02-20","low_u_west","low","west","u",21.3160185185185,NA,"temp.min"
"2017-02-21","high_c_east","high","east","c",17.0892222222222,NA,"temp.min"
"2017-02-21","high_c_west","high","west","c",17.6512698412698,NA,"temp.min"
"2017-02-21","high_u_east","high","east","u",17.1354166666667,NA,"temp.min"
"2017-02-21","high_u_west","high","west","u",17.4101587301587,NA,"temp.min"
"2017-02-21","low_c_east","low","east","c",21.3196825396825,NA,"temp.min"
"2017-02-21","low_c_west","low","west","c",19.9973148148148,NA,"temp.min"
